ID;Titre;Catégorie;Secteurs;Menace;DIC;ISO27001;DORA;NIS2;Impact;Scénario;Mesures
R-GOV-01;Absence de PSSI;Gouvernance;Tous;Défaut de gestion;D;5.1;Art. 5;Politique de sécurité;4;Aucune règle écrite ne définit les priorités de sécurité.;Rédiger et valider une PSSI.
R-GOV-02;Absence de revue de direction;Gouvernance;Tous;Défaut de surveillance;DIC;5.5;Art. 5;Gouvernance;3;La direction n'est pas informée des incidents majeurs.;Organiser un comité de pilotage trimestriel.
R-GOV-03;Budget cyber insuffisant;Gouvernance;Tous;Défaut de ressources;DIC;5.1;Art. 5;Gestion des risques;5;Incapacité à maintenir les systèmes à jour faute de fonds.;Définir un budget pluriannuel basé sur les risques.
R-ACC-01;MFA non activé sur VPN;Accès;Tous;Attaque externe;C;A.9.2;Art. 9;Contrôle d'accès;5;Un attaquant utilise un mot de passe volé pour entrer sur le réseau.;Activer le MFA (Duo, MS Authenticator).
R-ACC-02;Comptes administrateurs partagés;Accès;Industrie, Finance;Fraude interne;I;A.8.2;Art. 9;Responsabilisation;4;Plusieurs techniciens utilisent le même compte 'root'.;Créer des comptes nominatifs.
R-ACC-03;Droits excessifs (Shadow Admin);Accès;Finance, Santé;Élévation de privilèges;C;A.8.2;Art. 9;Principe moindre privilège;4;Un stagiaire a accès au dossier des salaires par erreur.;Revue trimestrielle des droits d'accès.
R-ACC-04;Mots de passe faibles;Accès;Tous;Brute Force;C;A.5.17;Art. 9;Hygiène informatique;3;Le mot de passe 'Hiver2024!' est trouvé en 2 minutes.;Imposer 12 caractères + complexité.
R-OPS-01;Retard de correctifs critiques;Opérations;Tous;Exploitation faille;DIC;A.8.8;Art. 10;Gestion vulnérabilités;5;Une faille connue (Log4j) est exploitée car non patchée.;SLA de patching < 48h pour les failles critiques.
R-OPS-02;Sauvegardes non testées;Opérations;Tous;Sinistre technique;D;A.8.14;Art. 12;Continuité;5;Lors d'un crash, on découvre que les sauvegardes sont corrompues.;Test de restauration complet chaque mois.
R-OPS-03;Absence de segmentation IT/OT;Industrie, Énergie;Propagation malware;Sinistre technique;D;A.8.1;N/A;Sécurité réseaux;5;;Segmentation via VLAN et Firewall industriel.
R-OPS-04;Logs non centralisés;Opérations;Finance, Secteur Public;Défaut de preuve;C;A.8.15;Art. 10;Gestion incidents;4;Impossible d'identifier l'origine d'une fuite de données.;Mettre en place un serveur Syslog ou SIEM.
R-SUP-01;Faillite d'un prestataire Cloud;Supply Chain;Finance, Santé;Rupture de service;D;A.5.21;Art. 28;Risque tiers;4;Le fournisseur SaaS ferme sans préavis.;Prévoir une clause de sortie et un backup local.
R-SUP-02;Accès tiers non supervisé;Supply Chain;Tous;Rebond attaque;C;A.5.22;Art. 28;Accès tiers;5;Un prestataire de clim accède au serveur de fichiers via son VPN.;Limiter les accès tiers à des plages horaires.
R-RH-01;Ingénierie sociale (Phishing);RH;Tous;Arnaque au président;I;6.3;Art. 13;Sensibilisation;4;Un comptable effectue un virement suite à un mail frauduleux.;Formation et simulation de phishing.
R-RH-02;Départ collaborateur non géré;RH;Tous;Vengeance / Vol;C;A.5.10;Art. 9;Processus RH;3;Un employé part chez un concurrent avec le fichier client.;Révocation immédiate des accès lors du départ.
R-PHY-01;Local serveur non sécurisé;Physique;Industrie, Énergie;Sabotage;D;A.7.2;Art. 9;Sécurité physique;4;N'importe qui peut entrer et débrancher une prise réseau.;Installer un lecteur de badge et une caméra.
R-PHY-02;Vol d'ordinateurs portables;Physique;Tous;Perte de données;C;A.7.9;Art. 9;Protection terminaux;3;Un PC oublié dans le métro contient des données sensibles.;Chiffrer les disques (Bitlocker / FileVault).
R-DEV-01;Secrets en dur dans le code;Développement;Finance;Exfiltration;C;A.8.25;Art. 9;SDLC;5;Les clés d'API sont visibles sur le GitHub public.;Utiliser un coffre-fort de clés (Key Vault).
R-DAT-01;Absence de classification;Données;Santé, Secteur Public;Fuite de données;C;A.8.11;Art. 9;Protection données;3;On ne sait pas quels fichiers sont confidentiels ou publics.;Tagging des documents (Confidentiel, Interne, Public).
